Codigo	Descripcion	Precio Costo	Precio Venta
7793147572389	CER473 SALTA CAUTIVA ROJA	$1,732.38	$2,600.00
7793147571344	CER473 SALTA NEGRA	$1,664.57	$2,400.00
7793147570347	CER473 SALTA RUBIA	$1,789.31	$2,500.00
7793147572075	CER473 SANTA FE PILSEN	$1,668.12	$2,400.00
7793147570286	CER473 SANTA FE RUBIA ORIGINAL	$762.50	$1,100.00
7896052605316	CER473 SCHIN	$1,038.70	$1,600.00
7793147574222	CER473 SCHNEIDER REMIX LIMON	$1,419.92	$2,200.00
7793147572990	CER473 SIX BIECKERT URBANA	$5,254.04	$7,500.00
PBUR	CER473 SIX BIECKERT URBANA	$5,254.04	$7,500.00
7793147573201	CER473 SIX BLUE MOON LATA	$11,646.00	$14,000.00
7793147573614	CER473 SOL	$928.32	$1,500.00
7792798013487	CER473 STELLA ARTOIS 0 CERO	$1,870.34	$2,500.00
7793147570927	CER473 WARSTEINER	$1,332.70	$1,900.00
7793147572914	CER473CC BIECKERT URBANA	$875.67	$1,300.00
7798287170129	CER473CC CERVEZA PAMPA AMBER BREWING	$1,400.00	$2,000.00
7793147572723	CER473CC IMPERIAL ROJA	$1,773.07	$2,600.00
7896760400395	CER473CC MALTA	$1,416.67	$2,000.00
7793147573386	CER473CC MILLER	$1,666.67	$2,300.00
7798339250212	CER473CC RABIETA HELLES	$1,414.45	$2,000.00
7793147118860	CER473CC SCHNEIDER RUBIA	$1,270.83	$1,700.00
7792798012947	CER473CC SIXPACK QUILMES CLASICA	$8,625.00	$11,000.00
7798091030107	CER500 ANTARES SCOTCH	$2,740.73	$4,000.00
PPPA	CER500 PARERA X6	$9,528.00	$11,500.00
7898953990218	CER600 ESTRELLA GALICIA LAGER BOT	$3,666.67	$5,200.00
7793147573461	CER630 BIECKERT BAPA NR	$2,507.37	$3,300.00
7802100004185	CER650 HEINEKEN HOLANDESA BOTELLA	$3,708.00	$4,900.00
8008440212412	CER660 PERONI	$3,133.33	$4,300.00
7798054013697	CER710 361 LAGER	$1,658.72	$2,400.00
7792798014156	CER710 ANDES RUBIA	$798.88	$1,000.00
7792798015061	CER710 BRAHMA	$2,330.11	$3,300.00
7792798009756	CER710 BRAHMA DORADA	$1,071.83	$1,500.00
7792798013357	CER710 BUDWEISER	$2,285.29	$3,200.00
7792798013531	CER710 BUDWEISER X4	$9,141.15	$12,800.00
7792798014347	CER710 GOOSE ISLAND LATON	$2,500.00	$3,300.00
7792798014354	CER710 GOOSE ISLAND LATON X4	$4,918.06	$6,400.00
7793147572624	CER710 IMPERIAL GOLDEN 710 CC	$2,000.00	$2,500.00
7793147572686	CER710 IMPERIAL GOLDEN 710 CC	$2,000.00	$2,500.00
7792798014835	CER710 QUILMES CLASICA	$2,314.82	$3,300.00
7793147570606	CER710 SCHNEIDER LAGER 710 CC	$1,426.00	$1,700.00
7792798013975	CER710 STELLA ARTOIS	$3,611.75	$4,800.00
7792798010721	CER710 STELLA ARTOIS	$1,305.00	$1,800.00
7792798015078	CER710 X4 BRAHMA	$9,320.46	$13,000.00
7792798014842	CER710 X4 QUILMES CLASICA	$9,259.26	$13,000.00
7792798010882	CER730 PATAGINIA VERA IPA	$3,873.68	$5,500.00
7790040142510	CERALES FORMIS FRUT 245 G	$920.68	$1,300.00
7790040142527	CERALES FORMIS POPCORN 145 G	$680.68	$1,000.00
7790520993106	CERAMICOL AUTOBRILLO NEGRO 800 CC	$5,532.99	$7,800.00
7790520993090	CERAMICOL CERA AUTOBRILLO ROJO 800 CC	$6,757.28	$9,500.00
CERDO	CERDO	$7,500.00	$11,300.00
7791019000060	CEREAL 3 ARROYOS  AZUCARADO 200 G	$893.75	$1,300.00
